# Region type : patch inlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	sum(phi)
        2.055	-7.570220e-04
         2.06	-7.570219e-04
        2.065	-7.570218e-04
         2.07	-7.570217e-04
        2.075	-7.570216e-04
         2.08	-7.570215e-04
        2.085	-7.570214e-04
         2.09	-7.570213e-04
        2.095	-7.570212e-04
          2.1	-7.570211e-04
        2.105	-7.570210e-04
         2.11	-7.570209e-04
        2.115	-7.570208e-04
         2.12	-7.570207e-04
        2.125	-7.570206e-04
         2.13	-7.570205e-04
        2.135	-7.570204e-04
         2.14	-7.570203e-04
        2.145	-7.570202e-04
         2.15	-7.570202e-04
        2.155	-7.570201e-04
         2.16	-7.570200e-04
        2.165	-7.570199e-04
         2.17	-7.570198e-04
        2.175	-7.570198e-04
         2.18	-7.570197e-04
        2.185	-7.570196e-04
         2.19	-7.570196e-04
        2.195	-7.570195e-04
          2.2	-7.570194e-04
        2.205	-7.570193e-04
         2.21	-7.570193e-04
        2.215	-7.570192e-04
         2.22	-7.570192e-04
        2.225	-7.570191e-04
         2.23	-7.570190e-04
        2.235	-7.570190e-04
         2.24	-7.570189e-04
        2.245	-7.570189e-04
         2.25	-7.570188e-04
        2.255	-7.570187e-04
         2.26	-7.570187e-04
        2.265	-7.570186e-04
         2.27	-7.570186e-04
        2.275	-7.570185e-04
         2.28	-7.570185e-04
        2.285	-7.570184e-04
         2.29	-7.570184e-04
        2.295	-7.570183e-04
          2.3	-7.570183e-04
        2.305	-7.570182e-04
         2.31	-7.570182e-04
        2.315	-7.570181e-04
         2.32	-7.570181e-04
        2.325	-7.570180e-04
         2.33	-7.570180e-04
        2.335	-7.570180e-04
         2.34	-7.570179e-04
        2.345	-7.570179e-04
         2.35	-7.570178e-04
        2.355	-7.570178e-04
         2.36	-7.570178e-04
        2.365	-7.570177e-04
         2.37	-7.570177e-04
        2.375	-7.570176e-04
         2.38	-7.570176e-04
        2.385	-7.570176e-04
         2.39	-7.570175e-04
        2.395	-7.570175e-04
          2.4	-7.570175e-04
        2.405	-7.570174e-04
         2.41	-7.570174e-04
        2.415	-7.570174e-04
         2.42	-7.570173e-04
        2.425	-7.570173e-04
         2.43	-7.570173e-04
        2.435	-7.570172e-04
         2.44	-7.570172e-04
        2.445	-7.570172e-04
         2.45	-7.570172e-04
        2.455	-7.570171e-04
         2.46	-7.570171e-04
        2.465	-7.570171e-04
         2.47	-7.570170e-04
        2.475	-7.570170e-04
         2.48	-7.570170e-04
        2.485	-7.570170e-04
         2.49	-7.570169e-04
        2.495	-7.570169e-04
          2.5	-7.570169e-04
        2.505	-7.570169e-04
         2.51	-7.570169e-04
        2.515	-7.570168e-04
         2.52	-7.570168e-04
        2.525	-7.570168e-04
         2.53	-7.570168e-04
        2.535	-7.570167e-04
         2.54	-7.570167e-04
        2.545	-7.570167e-04
         2.55	-7.570167e-04
        2.555	-7.570167e-04
         2.56	-7.570166e-04
        2.565	-7.570166e-04
         2.57	-7.570166e-04
        2.575	-7.570166e-04
         2.58	-7.570166e-04
        2.585	-7.570166e-04
